toad.id,age,task.type,reward.position,choice,latency,trial,lt,learnt,log.latency
MW12,1,association,L,1,118,16,1,1,4.770684624
MW13,1,association,L,1,150,1,1,1,5.010635294
MW13,1,association,L,1,35,2,1,1,3.555348061
MW13,1,association,L,1,80,3,1,1,4.382026635
MW13,1,association,L,1,119,4,1,1,4.779123493
MW13,1,association,L,1,350,5,1,1,5.857933154
MW13,1,association,L,1,180,6,1,1,5.192956851
MW13,1,association,L,1,39,7,1,1,3.663561646
MW14,1,association,L,1,51,1,1,1,3.931825633
MW14,1,association,L,1,370,2,1,1,5.913503006
MW14,1,association,L,1,270,3,1,1,5.598421959
MW14,1,association,L,1,240,4,1,1,5.480638923
MW14,1,association,L,1,141,5,1,1,4.94875989
MW14,1,association,L,1,176,6,1,1,5.170483995
MW14,1,association,L,1,214,7,1,1,5.365976015
MW15,1,association,R,0,400,1,1,1,5.991464547
MW15,1,association,R,0,140,2,1,1,4.941642423
MW15,1,association,R,1,45,3,1,1,3.80666249
MW15,1,association,R,1,172,4,1,1,5.147494477
MW15,1,association,R,0,94,5,1,1,4.543294782
MW15,1,association,R,1,64,6,1,1,4.158883083
MW15,1,association,R,1,84,7,1,1,4.430816799
MW15,1,association,R,1,60,8,1,1,4.094344562
MW15,1,association,R,1,93,9,1,1,4.532599493
MW15,1,association,R,0,189,10,1,1,5.241747015
MW15,1,association,R,0,110,11,1,1,4.700480366
MW15,1,association,R,0,118,12,1,1,4.770684624
MW15,1,association,R,1,240,13,1,1,5.480638923
MW15,1,association,R,1,60,14,1,1,4.094344562
MW15,1,association,R,0,96,15,1,1,4.564348191
MW15,1,association,R,0,82,16,1,1,4.406719247
MW15,1,association,R,1,231,17,1,1,5.442417711
MW15,1,association,R,1,530,18,1,1,6.272877007
MW15,1,association,R,1,128,19,1,1,4.852030264
MW15,1,association,R,0,52,20,1,1,3.951243719
MW15,1,association,R,0,161,21,1,1,5.081404365
MW15,1,association,R,1,45,22,1,1,3.80666249
MW15,1,association,R,1,52,23,1,1,3.951243719
MW15,1,association,R,1,94,24,1,1,4.543294782
MW15,1,association,R,1,27,25,1,1,3.295836866
MW16,1,association,R,1,366,1,1,1,5.902633333
MW16,1,association,R,1,237,2,1,1,5.468060141
MW16,1,association,R,1,254,3,1,1,5.537334267
MW16,1,association,R,1,118,4,1,1,4.770684624
MW16,1,association,R,1,150,5,1,1,5.010635294
MW16,1,association,R,0,146,6,1,1,4.983606622
MW16,1,association,R,0,84,7,1,1,4.430816799
MW16,1,association,R,0,63,8,1,1,4.143134726
MW16,1,association,R,0,27,9,1,1,3.295836866
MW16,1,association,R,0,65,10,1,1,4.17438727
MW16,1,association,R,0,16,11,1,1,2.772588722
MW16,1,association,R,1,324,12,1,1,5.780743516
MW16,1,association,R,1,210,13,1,1,5.347107531
MW16,1,association,R,1,390,14,1,1,5.966146739
MW16,1,association,R,1,229,15,1,1,5.433722004
MW16,1,association,R,0,46,16,1,1,3.828641396
MW16,1,association,R,1,400,17,1,1,5.991464547
MW16,1,association,R,1,116,18,1,1,4.753590191
MW16,1,association,R,1,44,19,1,1,3.784189634
MW17,1,association,L,0,390,1,1,1,5.966146739
MW17,1,association,L,0,80,2,1,1,4.382026635
MW17,1,association,L,0,170,3,1,1,5.135798437
MW17,1,association,L,0,81,4,1,1,4.394449155
MW17,1,association,L,0,113,5,1,1,4.727387819
MW17,1,association,L,1,99,6,1,1,4.59511985
MW17,1,association,L,0,125,7,1,1,4.828313737
MW17,1,association,L,1,135,8,1,1,4.905274778
MW17,1,association,L,1,127,9,1,1,4.844187086
MW17,1,association,L,0,231,10,1,1,5.442417711
MW17,1,association,L,1,36,11,1,1,3.583518938
MW17,1,association,L,1,120,12,1,1,4.787491743
MW17,1,association,L,1,199,13,1,1,5.293304825
MW17,1,association,L,1,367,14,1,1,5.905361848
MW18,1,association,L,1,397,1,1,1,5.983936281
MW18,1,association,L,1,98,2,1,1,4.584967479
MW18,1,association,L,1,80,3,1,1,4.382026635
MW18,1,association,L,1,303,4,1,1,5.713732806
MW18,1,association,L,0,180,5,1,1,5.192956851
MW18,1,association,L,1,294,6,1,1,5.683579767
MW18,1,association,L,1,349,7,1,1,5.855071922
MW18,1,association,L,0,185,8,1,1,5.220355825
MW18,1,association,L,1,58,9,1,1,4.060443011
MW19,1,association,R,0,47,1,1,1,3.850147602
MW19,1,association,R,1,240,2,1,1,5.480638923
MW19,1,association,R,1,193,3,1,1,5.262690189
MW19,1,association,R,1,90,4,1,1,4.49980967
MW19,1,association,R,1,370,5,1,1,5.913503006
MW19,1,association,R,1,230,6,1,1,5.438079309
MW19,1,association,R,1,220,7,1,1,5.393627546
MW19,1,association,R,1,170,8,1,1,5.135798437
MW20,1,association,R,0,434,1,1,1,6.073044534
MW20,1,association,R,0,292,2,1,1,5.676753802
MW20,1,association,R,0,200,3,1,1,5.298317367
MW20,1,association,R,1,323,4,1,1,5.777652323
MW20,1,association,R,0,162,5,1,1,5.087596335
MW20,1,association,R,1,77,6,1,1,4.343805422
