toad.id,sex,age,task.type,reward.position,choice,latency,trial,lt,learnt
MW15,1,A,association,R,0,189,10,1,1
MW15,1,A,association,R,0,110,11,1,1
MW15,1,A,association,R,0,118,12,1,1
MW15,1,A,association,R,1,240,13,1,1
MW15,1,A,association,R,1,60,14,1,1
MW15,1,A,association,R,0,96,15,1,1
MW15,1,A,association,R,0,82,16,1,1
MW15,1,A,association,R,1,231,17,1,1
MW15,1,A,association,R,1,530,18,1,1
MW15,1,A,association,R,1,128,19,1,1
MW15,1,A,association,R,0,52,20,1,1
MW15,1,A,association,R,0,161,21,1,1
MW15,1,A,association,R,1,45,22,1,1
MW15,1,A,association,R,1,52,23,1,1
MW15,1,A,association,R,1,94,24,1,1
MW15,1,A,association,R,1,27,25,1,1
MW16,1,A,association,R,1,366,1,1,1
MW16,1,A,association,R,1,237,2,1,1
MW16,1,A,association,R,1,254,3,1,1
MW16,1,A,association,R,1,118,4,1,1
MW16,1,A,association,R,1,150,5,1,1
MW16,1,A,association,R,0,146,6,1,1
MW16,1,A,association,R,0,84,7,1,1
MW16,1,A,association,R,0,63,8,1,1
MW16,1,A,association,R,0,27,9,1,1
MW16,1,A,association,R,0,65,10,1,1
MW16,1,A,association,R,0,16,11,1,1
MW16,1,A,association,R,1,324,12,1,1
MW16,1,A,association,R,1,210,13,1,1
MW16,1,A,association,R,1,390,14,1,1
MW16,1,A,association,R,1,229,15,1,1
MW16,1,A,association,R,0,46,16,1,1
MW16,1,A,association,R,1,400,17,1,1
MW16,1,A,association,R,1,116,18,1,1
MW16,1,A,association,R,1,44,19,1,1
MW17,0,A,association,L,0,390,1,1,1
MW17,0,A,association,L,0,80,2,1,1
MW17,0,A,association,L,0,170,3,1,1
MW17,0,A,association,L,0,81,4,1,1
MW17,0,A,association,L,0,113,5,1,1
MW17,0,A,association,L,1,99,6,1,1
MW17,0,A,association,L,0,125,7,1,1
MW17,0,A,association,L,1,135,8,1,1
MW17,0,A,association,L,1,127,9,1,1
MW17,0,A,association,L,0,231,10,1,1
MW17,0,A,association,L,1,36,11,1,1
MW17,0,A,association,L,1,120,12,1,1
MW17,0,A,association,L,1,199,13,1,1
MW17,0,A,association,L,1,367,14,1,1
MW18,0,A,association,L,1,397,1,1,1
MW18,0,A,association,L,1,98,2,1,1
MW18,0,A,association,L,1,80,3,1,1
MW18,0,A,association,L,1,303,4,1,1
MW18,0,A,association,L,0,180,5,1,1
MW18,0,A,association,L,1,294,6,1,1
MW18,0,A,association,L,1,349,7,1,1
MW18,0,A,association,L,0,185,8,1,1
